id,snapshot_id,keyword,col,table
1572396924399786065,9,abstraction,Prompt,conversation
1572396924399786065,9, duplicate code,Answer,conversation
-880414534019997911,3, switch statement,Answer,conversation
-2648076777417991343,4, performance,Answer,conversation
-2648076777417991343,4, long method,Answer,conversation
1627033477148480912,4, performance,Prompt,conversation
-3557900706225340254,9, data class,ListOfCode,conversation
272832455132178407,7, performance,Answer,conversation
272832455132178407,7,complexity,Answer,conversation
4518494887907212871,7, long method,Answer,conversation
-3586949343107962242,9, flexibility,Prompt,conversation
-3586949343107962242,9, efficiency,Answer,conversation
-3586949343107962242,9, robustness,Answer,conversation
-3586949343107962242,9, reliability,Answer,conversation
-5561934781803559510,3, dead code,Answer,conversation
-5561934781803559510,3, efficiency,Answer,conversation
-5561934781803559510,3, effectiveness,Answer,conversation
-5561934781803559510,3, adaptability,Answer,conversation
-4665550750791937333,4, data class,Answer,conversation
456995002913125783,4, efficiency,Prompt,conversation
456995002913125783,4, performance,Answer,conversation
456995002913125783,4, efficiency,Answer,conversation
456995002913125783,4, scalability,Answer,conversation
-5049680255904501736,3, flexibility,Answer,conversation
-2193768864625024575,7,complexity,Answer,conversation
-1688585936018289159,9, compatibility,Answer,conversation
-1688585936018289159,9, readability,Answer,conversation
-1688585936018289159,9, flexibility,Answer,conversation
-7097629167341992278,3,composition,Answer,conversation
8543879514270599930,4, performance,Prompt,conversation
8543879514270599930,4,complexity,Prompt,conversation
4814289010674082962,9, functionality,Answer,conversation
-1117409845736120650,8, performance,Answer,conversation
-2088149813831592057,4,complexity,Answer,conversation
-6405664623440423263,3, functionality,Answer,conversation
-2793530617720883287,4,design size,Prompt,conversation
-2793530617720883287,4, performance,Answer,conversation
-2793530617720883287,4,design size,Answer,conversation
-5644051715134568235,4, data class,Prompt,conversation
-3752946143390980531,9,complexity,Answer,conversation
-3752946143390980531,9,design size,Answer,conversation
-3752946143390980531,9, extensibility,Answer,conversation
-3752946143390980531,9, efficiency,Answer,conversation
3441609522328373289,4,composition,Answer,conversation
3441609522328373289,4, simplicity,Answer,conversation
1875131002890415968,3, data class,Prompt,conversation
522865037959300928,9, data class,Answer,conversation
-2297839066780057933,3, data class,Prompt,conversation
6637299355264026001,4, functionality,Prompt,conversation
6637299355264026001,4, functionality,Answer,conversation
6637299355264026001,4, duplicate code,Answer,conversation
-6357598484353769490,3, simplicity,Answer,conversation
9048710387944446973,4, scalability,Answer,conversation
9048710387944446973,4, reproducibility,Answer,conversation
-4331042665837571216,9, flexibility,Answer,conversation
-4331042665837571216,9, robustness,Answer,conversation
-4331042665837571216,9, interoperability,Answer,conversation
-1696658190079509525,4, duplicate code,Prompt,conversation
-1696658190079509525,4, duplicate code,Answer,conversation
-1761239413560620302,9,complexity,Answer,conversation
-1761239413560620302,9, readability,Answer,conversation
-1761239413560620302,9, flexibility,Answer,conversation
-1988791181064461271,4, reproducibility,Answer,conversation
-1439898324906067005,3, functionality,Answer,conversation
-3174424567282768482,4,composition,Answer,conversation
-4339791446017684176,4,composition,Prompt,conversation
3265374827421294028,9, performance,Answer,conversation
3265374827421294028,9, efficiency,Answer,conversation
-2036449477226048229,4, performance,Prompt,conversation
-9086065854990807779,9,abstraction,Answer,conversation
-5842669761257362433,9, data class,Answer,conversation
-5574474908715656284,9, performance,Answer,conversation
-1545360117765783503,7,complexity,Answer,conversation
5969948413289208110,7, compatibility,Answer,conversation
6265588925682895720,4, compatibility,Prompt,conversation
6265588925682895720,4, long method,Prompt,conversation
6265588925682895720,4,design size,Prompt,conversation
-7642457018744898146,4, performance,Prompt,conversation
-7642457018744898146,4, efficiency,Prompt,conversation
-4248065713421576155,9, data class,Answer,conversation
1004034796153817166,4, functionality,Prompt,conversation
1004034796153817166,4, functionality,ListOfCode,conversation
-8855546689068592479,4, performance,Answer,conversation
-8855546689068592479,4,complexity,Answer,conversation
8116581373880891431,4, functionality,Answer,conversation
-530294701933632222,4, performance,Prompt,conversation
-530294701933632222,4, flexibility,Prompt,conversation
-6947090831396420245,4, robustness,Answer,conversation
-8883191610089868699,4,composition,Prompt,conversation
-3920314117478712906,3, functionality,Answer,conversation
-4758330679436475700,7,design size,Answer,conversation
809028994611890800,3, compatibility,Answer,conversation
-7825762835486015221,7,complexity,Answer,conversation
-3865303302466225548,7,complexity,Answer,conversation
-7067030076312713829,3,complexity,Answer,conversation
400382597803996131,9, data class,Answer,conversation
2949398783193214178,9,complexity,Answer,conversation
2682734654241126922,3, flexibility,Answer,conversation
-7714616345693680423,3, correctness,Answer,conversation
-1688585936018289159,3, compatibility,Answer,conversation
-1688585936018289159,3, readability,Answer,conversation
-1688585936018289159,3, flexibility,Answer,conversation
6469468442632474500,9, data class,Prompt,conversation
-4518395019663682579,6,abstraction,Answer,conversation
480711997447389250,3,complexity,Answer,conversation
3540555599753564737,7, performance,Answer,conversation
3540555599753564737,7, data class,Answer,conversation
3540555599753564737,7, accuracy,Answer,conversation
1370606963672241400,5, functionality,Answer,conversation
6916288754464909579,7, performance,Answer,conversation
6916288754464909579,7, data class,Answer,conversation
6916288754464909579,7, accuracy,Answer,conversation
6916288754464909579,7, effectiveness,Answer,conversation
-9011777200929279724,6, compatibility,Answer,conversation
3482987455148097854,6,abstraction,Prompt,conversation
3482987455148097854,6,abstraction,Answer,conversation
3482987455148097854,6, productivity,Answer,conversation
-4928665437834258085,3, switch statement,Prompt,conversation
-4928665437834258085,3, switch statement,Answer,conversation
-4156300374760065188,3, effectiveness,Answer,conversation
5743692841892187832,5, performance,Answer,conversation
5743692841892187832,5,complexity,Answer,conversation
5743692841892187832,5, flexibility,Answer,conversation
5743692841892187832,5, scalability,Answer,conversation
-6159388833546916189,4,design size,Prompt,conversation
-1913198764766867969,5, functionality,Answer,conversation
-1913198764766867969,5, flexibility,Answer,conversation
-1913198764766867969,5, scalability,Answer,conversation
-1688585936018289159,6, compatibility,Answer,conversation
-1688585936018289159,6, readability,Answer,conversation
-1688585936018289159,6, flexibility,Answer,conversation
-1761239413560620302,6,complexity,Answer,conversation
-1761239413560620302,6, readability,Answer,conversation
-1761239413560620302,6, flexibility,Answer,conversation
794254090529777943,3,design size,Answer,conversation
2048106932783108957,6,complexity,Answer,conversation
-5108447595777269185,5, performance,Answer,conversation
2931567712288244227,5, functionality,Answer,conversation
2931567712288244227,5, performance,Answer,conversation
2931567712288244227,5, compatibility,Answer,conversation
-4163704043605649999,5, performance,Answer,conversation
5559378984586239810,3, performance,Answer,conversation
1572396924399786065,3,abstraction,Prompt,conversation
1572396924399786065,3, duplicate code,Answer,conversation
8442416888609976579,9,composition,Prompt,conversation
-3561188484325444980,7,complexity,Answer,conversation
-3561188484325444980,7, flexibility,Answer,conversation
6300683430092733836,5, readability,Answer,conversation
6300683430092733836,5, simplicity,Answer,conversation
1572396924399786065,6,abstraction,Prompt,conversation
1572396924399786065,6, duplicate code,Answer,conversation
-4468178583091842185,4, functionality,Answer,conversation
-7223854819661449333,5, accuracy,ListOfCode,conversation
2095989195623283844,6, dead code,ListOfCode,conversation
-4721992999666257535,5, performance,Answer,conversation
-4721992999666257535,5, correctness,Answer,conversation
8112565505169980433,3, performance,Answer,conversation
5790403196612604595,6, robustness,Answer,conversation
2964987224902784118,3, effectiveness,Answer,conversation
3482987455148097854,3,abstraction,Prompt,conversation
3482987455148097854,3,abstraction,Answer,conversation
3482987455148097854,3, productivity,Answer,conversation
-5749541771403800864,3, effectiveness,Answer,conversation
1875131002890415968,4, data class,Prompt,conversation
-6725143854293140887,3, effectiveness,Answer,conversation
4122248173161117983,3, flexibility,Answer,conversation
-9086065854990807779,3,abstraction,Answer,conversation
8342537113209918399,4, long method,Answer,conversation
-8578758476233565808,5, performance,Answer,conversation
-8578758476233565808,5, compatibility,Answer,conversation
-5561934781803559510,4, dead code,Answer,conversation
-5561934781803559510,4, efficiency,Answer,conversation
-5561934781803559510,4, effectiveness,Answer,conversation
-5561934781803559510,4, adaptability,Answer,conversation
3197634747950625337,9, data class,ListOfCode,conversation
-5619362142462847830,7, readability,Answer,conversation
2024389399132853977,6, long method,Answer,conversation
216483847942225151,6, functionality,Answer,conversation
-1159271089884838655,7,complexity,Answer,conversation
-1159271089884838655,7, flexibility,Answer,conversation
-5049680255904501736,4, flexibility,Answer,conversation
-5427602996131145552,5, functionality,Answer,conversation
-5738969736044588355,3,abstraction,Answer,conversation
-5738969736044588355,3, productivity,Answer,conversation
-7245155050038042419,5, accuracy,ListOfCode,conversation
-857842570209993476,3, performance,Answer,conversation
-171841064276814835,6, performance,Answer,conversation
-171841064276814835,6,complexity,Answer,conversation
-171841064276814835,6, long method,Answer,conversation
-7097629167341992278,4,composition,Answer,conversation
-1761239413560620302,3,complexity,Answer,conversation
-1761239413560620302,3, readability,Answer,conversation
-1761239413560620302,3, flexibility,Answer,conversation
6814949167568027042,7, performance,Answer,conversation
-4578704252969270410,5, performance,Answer,conversation
-4578704252969270410,5, correctness,Answer,conversation
-7615698229432793878,5, accuracy,Answer,conversation
