table_name,keyword,percentage
conversation,refactor,1.928253315714775
conversation,move,9.714677237801595
conversation,split,2.743111633142466
conversation,fix,7.681201977193755
conversation,introduce,2.4152106885919835
conversation,decompose,0.11256301081583713
conversation,reorganize,0.0342583076396026
conversation,extract,3.1419762149464106
conversation,merge,2.1656144472177363
conversation,rename,1.3507561297900454
conversation,change,20.239318749082365
conversation,restructure,0.21044388978613027
conversation,reformat,0.04404639553663192
conversation,extend,2.4935153917682182
conversation,remove,5.833700386629472
conversation,replace,10.1502471492194
conversation,rewrite,0.9812558116771888
conversation,simplify,1.0179611412910488
conversation,create,25.701071795624724
conversation,improve,4.382616355894876
conversation,add,32.41080604903832
conversation,modify,8.275828316938286
conversation,enhance,1.7349385797484462
conversation,rework,0.02447021974257329
conversation,inline,0.7390006362257133
conversation,redesign,0.09543385699603582
conversation,cleanup,0.7928351196593745
conversation,reduce,2.366270249106837
conversation,encapsulate,0.765917877942544
conversation,removed poor coding practice,0.0
conversation,improve naming consistency,0.0
conversation,removing unused classes,0.0
conversation,pull some code up,0.0
conversation,use better name,0.0
conversation,replace it with,0.3401360544217687
conversation,make maintenance easier,0.0
conversation,code cleanup,0.0
conversation,minor simplification,0.0
conversation,reorganize project structures,0.0
conversation,code maintenance for refactoring,0.0
conversation,remove redundant code,0.0
conversation,moved and gave clearer names to,0.0
conversation,refactor bad designed code,0.0
conversation,getting code out of,0.0
conversation,deleting a lot of old stuff,0.0
conversation,code revision,0.0
conversation,fix technical debt,0.0
conversation,fix quality issue,0.0
conversation,antipattern bad for performances,0.0
conversation,major structural changes,0.0
conversation,clean up unnecessary code,0.0
conversation,code reformatting & reordering,0.0
conversation,nicer code,0.0
conversation,simplify code redundancies,0.0
conversation,added more checks for quality factors,0.0
conversation,naming improvements,0.0
conversation,renamed for consistency,0.0
conversation,refactoring towards nicer name analysis,0.0
conversation,change design,0.0
conversation,modularize the code,0.0
conversation,code cosmetics,0.0
conversation,moved more code out of,0.0
conversation,remove dependency,0.0
conversation,enhanced code beauty,0.0
conversation,simplify internal design,0.0
conversation,change package structure,0.0
conversation,use a safer method,0.0
conversation,code improvements,0.0
conversation,minor enhancement,0.0
conversation,get rid of unused code,0.0
conversation,fixing naming convention,0.0
conversation,fix module structure,0.0
conversation,code optimization,0.0
conversation,fix a design flaw,0.0
conversation,nonfunctional code cleanup,0.0
conversation,improve code quality,0.009788087897029315
conversation,fix code smell,0.0
conversation,use less code,0.0
conversation,avoid future confusion,0.0
conversation,more easily extended,0.0
conversation,polishing code,0.0
conversation,move unused file away,0.0
conversation,many cosmetic changes,0.0
